Method_Number,Thread_Count,Input_Size,Average_Elapsed_Time
4,1,4096,.00002207000000000000
4,2,4096,.00001539000000000000
4,4,4096,.00006322000000000000
4,6,4096,.00001319000000000000
4,8,4096,.00001400000000000000
4,1,65536,.00029930000000000000
4,2,65536,.00022425000000000000
4,4,65536,.00016551000000000000
4,6,65536,.00018119000000000000
4,8,65536,.00021523000000000000
4,1,1048576,.00358277000000000000
4,2,1048576,.00289902000000000000
4,4,1048576,.00224447000000000000
4,6,1048576,.00172955000000000000
4,8,1048576,.00148815000000000000
4,1,16777216,.05797288000000000000
4,2,16777216,.05529537000000000000
4,4,16777216,.03163143000000000000
4,6,16777216,.02106166000000000000
4,8,16777216,.01790957000000000000
